id,fault_name,fault_register,fault_desc,date,status,edited_by,edited_at
129,"Cooling Fan",nur.hosen,"Cooling Fan",2026-04-20,1,NULL,NULL
128,"M365 (Email) Password Reset",nur.hosen,"M365 (Email) Password Reset",2026-03-30,1,NULL,NULL
127,"RJ 45 Connector Replacement ",nur.hosen,"RJ 45 Connector Replacement ",2025-07-15,1,NULL,NULL
126,"M 365 Authenticator",nur.hosen,"MS 365 Authenticator",2025-07-15,1,nur.hosen,"2025-07-15 11:33:32"
125,M365,nur.hosen,"Microsoft office 356",2025-07-07,1,nur.hosen,"2025-07-07 11:58:11"
124,"IT Equipment Return",nur.hosen,"IT Equipment Return",2025-01-28,1,NULL,NULL
123,"Printer Toner/Cartridge/Ink Replace",nur.hosen,"Printer Toner/Cartridge/Ink Replace",2025-01-22,1,NULL,NULL
122,CourierÂ ,nur.hosen,CourierÂ ,2025-01-22,1,NULL,NULL
121,"IT Equipment Collection",nur.hosen,"IT Equipment Collection",2025-01-22,1,NULL,NULL
120,"IT Equipment Delivery",nur.hosen,"IT Equipment Delivery",2025-01-22,1,NULL,NULL
119,Mouse,nur.hosen,Mouse,2025-01-22,1,NULL,NULL
118,"USB HUB",nur.hosen,"USB HUB",2025-01-22,1,NULL,NULL
117,Converter,nur.hosen,Converter,2025-01-22,1,NULL,NULL
116,"Desktop Brand",nur.hosen,"Desktop Brand",2025-01-22,1,NULL,NULL
115,"Desktop Clone ",nur.hosen,"Desktop Clone ",2025-01-22,1,nur.hosen,"2025-01-22 09:32:29"
114,"IT Equipments Entry",nur.hosen,"IT Equipments Entry",2025-01-22,1,NULL,NULL
113,"UTP Patch Cord(Cat-6)",nur.hosen,"UTP Patch Cord(Cat-6)",2025-01-22,1,NULL,NULL
112,SSD,nur.hosen,SSD,2025-01-22,1,nur.hosen,"2025-01-22 09:28:40"
111,"Exit Clearance",nur.hosen,"Exit Clearance",2024-10-20,1,nur.hosen,"2024-10-20 17:14:43"
110,"Mail Migration",nur.hosen,"Mail Migration",2024-08-01,1,NULL,NULL
109,"Test Purpose - Test Purpose",nur.hosen,"Test Purpose - Test Purpose",2024-08-01,1,nur.hosen,"2024-08-01 14:24:15"
108,Service,shakil.khan,"Laptop-Desktop- Other IT equipment Servicing",2023-06-22,1,NULL,NULL
107,,shakil.khan,,2023-06-13,1,NULL,NULL
106,"GIS Sentral Issue ",shihab,,2021-01-17,1,NULL,NULL
105,"IP Phone Repair ",shihab,,2020-10-20,1,NULL,NULL
104,"1. Printer Access",shihab,,2009-10-10,1,NULL,NULL
103,Service&Repair-(vendor),shihab,,2020-06-21,1,NULL,NULL
102,VPN,shihab,"vnp related issue ",2020-03-23,1,NULL,NULL
101,"PABX-Land Phone Connection Issue ",shihab,,2020-02-03,1,NULL,NULL
100,"HDD Partition- ( with Format and OS ) ",shihab,,2020-01-09,1,NULL,NULL
99,"IP Phone Config -( Device and Soft Phone) ",shihab,,2020-01-09,1,nur.hosen,"2025-07-07 12:01:35"
98,"Display Problem- ( Not Hardware ) ",shihab,,2020-01-09,1,NULL,NULL
97,Other,,"Other Queries",2019-12-31,0,NULL,NULL
96,Desktop,shakil.khan,,2019-12-29,1,NULL,NULL
95,Laptop,shakil.khan,,2019-12-29,1,NULL,NULL
94,"Web Administration ",shihab,,2019-06-09,1,NULL,NULL
93,"Cable ",shihab,"Any Kind of Cable Delivery or Repair ",2019-03-28,1,NULL,NULL
92,"PETTY CASH PURCHASE ",shihab,,2019-02-07,1,NULL,NULL
91,"PURCHASE ",shihab,,2019-02-07,1,NULL,NULL
90,"HARDWARE INSTALLATION",shihab,,2019-02-07,1,NULL,NULL
89,"IP Phone Extension (new extension)",shihab,,2019-01-31,1,nur.hosen,"2025-07-07 12:02:28"
88,"Desk Reallocation Support ",shihab,"Desk Reallocation Support ",2019-01-20,1,NULL,NULL
87,"Video Conference",shakil.khan,,2018-11-25,1,NULL,NULL
86,"Copier Troubleshoot- Taj Marriot",shihab,,2018-10-23,1,NULL,NULL
85,"Copier Troubleshoot- HO 4th Floor",shihab,,2018-10-23,1,NULL,NULL
84,"Copier Troubleshoot- HO 1st Floor",shihab,,2018-10-23,1,NULL,NULL
