id,fault_name,user,date,tt_no,status,edit_by,edit_date
3224,"MS word activation fail ",kh.hasan,"2026-07-23 14:44:36",2026072329736,1,NULL,NULL
3223,"Graphics of Display problem, Laptop is quite slow and unable to execute many tasks using our portal.",saumitro.kumer,"2026-07-21 13:58:46",2026072129719,1,NULL,NULL
3222,"Dear Sir,  VPN is not connecting to my Android mobile and Laptop, Please take a look.   Username   : 02-0416 Password   : 160204",momin,"2026-07-15 10:51:00",2026071529656,1,NULL,NULL
3221,VPN,hasan.ali,"2026-07-13 11:31:46",2026071329628,1,NULL,NULL
3220,"Mail locked.",saminur.rahman,"2026-07-05 11:53:09",2026070529583,1,NULL,NULL
3219,"VPN Problem Issue",md.saidur,"2026-06-25 10:04:14",2026062529534,1,NULL,NULL
3218,"Suspicious email received from personal email.",fabliha,"2026-06-24 13:39:01",2026062429521,1,NULL,NULL
3217,"Banani office Internet  wifi router problem",khairul.islam,"2026-06-24 11:51:11",2026062429511,1,NULL,NULL
3216,"Windows has crashed. Need to fix it",shahriar.hossain,"2026-06-21 09:43:52",2026062129490,1,NULL,NULL
3215,"Windows Issue",fabliha,"2026-06-04 12:08:02",2026060429409,1,NULL,NULL
3214,"Laptop Malfuntioned",mamun.roshid,"2026-05-17 11:28:08",2026051729346,1,NULL,NULL
3213,"Laptop malfuntioned.",mamun.roshid,"2026-05-17 10:39:10",2026051729341,1,NULL,NULL
3212,"Laptop camera",arafat.nazmul,"2026-05-10 15:49:30",2026051029309,1,NULL,NULL
3211,"New 24 Inch Monitor for Spreadsheet Based Analytical Work",lutful.kabir,"2026-05-04 16:54:47",2026050429273,1,NULL,NULL
3210,"Need maintanance the Plotter HP DesignJet T830 MFP",rehsanul.mahbub,"2026-04-29 19:07:50",2026042929256,1,NULL,NULL
3209,"Need to update Adobe Acrobat.",kanij,"2026-04-28 13:44:14",2026042829246,1,NULL,NULL
3208,"Printer problem",raisul.islam,"2026-04-07 11:48:47",2026040729119,1,NULL,NULL
3207,"Outlook problem",s.saiful,"2026-04-01 11:57:59",2026040129085,1,NULL,NULL
3206,"Fingerprint Access Error",risat.sarker,"2026-03-24 10:38:12",2026032429012,1,NULL,NULL
3205,"Showing Restore Up in laptop screen",mh.kabir,"2026-02-24 16:04:17",2026022428911,1,NULL,NULL
3204,"MS Project license issue",ashraful.jishan,"2026-02-24 10:24:27",2026022428898,1,NULL,NULL
3203,"Need to verify allocated devices & correct it",rashedul.hasan,"2026-02-22 10:45:52",2026022228874,1,NULL,NULL
3202,"Fan Malfunction",nazmulhuda,"2026-01-26 09:35:03",2026012628724,1,NULL,NULL
3201,"Need a M365",rifat,"2026-01-12 15:47:44",2026011228627,1,NULL,NULL
3200,"IS3 Ping not Reacheable. ",mehedihasan.imran,"2026-01-04 12:38:29",2026010428572,1,NULL,NULL
3199,"Fingerprint Access",babul.hossen,"2026-01-04 08:18:41",2026010428568,1,NULL,NULL
3198,"The phone call is disconnected when the receiver is picked up.",jamirul.islam,"2025-12-30 10:20:27",2025123028559,1,NULL,NULL
3197,"eportal issue",mazbah,"2025-12-28 14:00:19",2025122828540,1,NULL,NULL
3196,"IP Phone related",jamirul.islam,"2025-12-23 14:07:22",2025122328523,1,NULL,NULL
3195,"Laptop Touchpad is not working",rakibul.hasan,"2025-12-18 14:32:33",2025121828492,1,NULL,NULL
3194,"over heating & shut down issue ",md.rashedul,"2025-12-07 12:41:21",2025120728423,1,NULL,NULL
3193,"VPN for Team member ID-02-2755 ",mmizanur,"2025-11-16 08:56:48",2025111628307,1,NULL,NULL
3192,Fingerprint,risat.sarker,"2025-11-11 08:35:44",2025111128289,1,NULL,NULL
3191,"Need  ip phone extension",eshan,"2025-11-04 11:58:32",2025110428270,1,NULL,NULL
3190,"NOC TX workstation problem. Continuosly restarting. ",alvin,"2025-11-02 09:22:26",2025110228256,1,NULL,NULL
3189,"Need IP Phone Adapter and LAN Port Repair",anik.kumar,"2025-10-27 09:13:35",2025102728236,1,NULL,NULL
3188,"Display is blinking continuously. ",hasan.masud,"2025-10-26 11:02:57",2025102628227,1,NULL,NULL
3187,"Laptop Adapter faulty ",hakim,"2025-10-21 16:38:02",2025102128206,1,NULL,NULL
3186,"MS Visio Activation",chinmoy.biswas,"2025-10-08 16:08:40",2025100828126,1,NULL,NULL
3185,"Cannot Access IS3 NMS",risat.sarker,"2025-10-08 09:37:54",2025100828118,1,NULL,NULL
3184,"MS teams not working ",mh.kabir,"2025-10-07 14:30:25",2025100728117,1,NULL,NULL
3183,"Visio is not operational.",hasan,"2025-09-30 09:41:54",2025093028093,1,NULL,NULL
3182,"Zimmatur Rahman",abdullahal.noman,"2025-09-22 09:08:07",2025092228058,1,NULL,NULL
3181,"Id-02-0840 & 02-1617, Log in problem in HRIS system Pls solve it urgently",shibli.sadik,"2025-09-21 09:08:44",2025092128052,1,NULL,NULL
3180,"Adobe PDF Reader",abu.shaid,"2025-09-17 09:46:24",2025091728038,1,NULL,NULL
3179,"Laptop Performance very slow. ",mamun.roshid,"2025-09-15 13:47:35",2025091528030,1,NULL,NULL
3178,"Laptop Display Problem, Headphone Connection Problem & lot of noise when working in AutoCAD.",neaj.morshed,"2025-09-14 16:11:03",2025091428027,1,NULL,NULL
3177,"Laptop Display Problem",neaj.morshed,"2025-09-14 16:08:09",2025091428026,1,NULL,NULL
3176,"Microsoft word ",jamirul.islam,"2025-08-20 16:15:41",2025082027914,1,NULL,NULL
3175,"Telephone Adapter ",izaz,"2025-08-13 17:17:25",2025081327867,1,NULL,NULL
3174,"Laptop finger sensore is not working",ariful.islam,"2025-08-13 12:15:21",2025081327864,1,NULL,NULL
