id,employee_id,mr_id,pr_id,vendor_name,serial_no,purchase_date,category,brand,model,cpu,ram,ssd,monitor,warranty_date,item_group,item_name,gr_id,total_item,remarks,status,created_at,edited_by,edited_at,device_assigned_status,refno_tbl_it_equipment_requisition,device_assiged_date,device_assiged_by,device_type,inventory_type
1,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019977,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,72,"2025-09-18 09:02:50",02-2297,"IT Accessories",NULL
2,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0016276,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
3,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019460,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,80,"2025-09-18 09:26:54",02-2297,"IT Accessories",NULL
4,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019974,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,72,"2025-09-18 09:03:39",02-2297,"IT Accessories",NULL
5,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0016275,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,79,"2025-09-18 09:10:52",02-2297,"IT Accessories",NULL
6,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019457,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,73,"2025-09-18 09:04:36",02-2297,"IT Accessories",NULL
7,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019560,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,77,"2025-09-18 09:09:13",02-2297,"IT Accessories",NULL
8,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0016274,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,74,"2025-09-18 09:05:27",02-2297,"IT Accessories",NULL
9,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019455,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:38",NULL,NULL,1,64,"2025-08-19 16:05:50",02-2014,"IT Accessories",NULL
10,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019559,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:39",NULL,NULL,1,65,"2025-08-19 16:32:19",02-2014,"IT Accessories",NULL
11,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0016272,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:39",NULL,NULL,1,82,"2025-09-18 09:28:22",02-2297,"IT Accessories",NULL
12,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019453,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:39",NULL,NULL,1,67,"2025-09-18 08:56:15",02-2297,"IT Accessories",NULL
13,02-2014,FAHSC02-22972025-07-07MR118008,FAHSC02-01862025-03-17PR13213,"Corporate Point",22497K0019558,"2025-05-21 12:07:01",12,71,72,,,,,"2026-05-21 12:07:01","Computer Accessories","Wireless Access Point",FAHSC2025-05-21GR313986,23,,1,"2025-08-19 16:02:39",NULL,NULL,1,71,"2025-09-18 09:02:07",02-2297,"IT Accessories",NULL
