id,req_id,func_id,status,dept_id,details,quantity,return_q,due,responsible_id,inserted_at,updated_at
30144,955,118,1,NULL,NULL,NULL,0,NULL,02-1893,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30143,955,79,1,NULL,NULL,NULL,0,NULL,02-0341,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30142,955,42,1,NULL,NULL,NULL,0,NULL,02-1627,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30141,955,149,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30140,955,13,1,NULL,NULL,NULL,0,NULL,02-2075,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30139,955,135,1,NULL,NULL,NULL,0,NULL,02-0309,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30138,955,18,1,NULL,NULL,NULL,0,NULL,02-1996,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30137,955,112,1,NULL,NULL,NULL,0,NULL,02-2429,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30136,955,155,1,NULL,NULL,NULL,0,NULL,02-0086,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30135,955,165,1,NULL,NULL,NULL,0,NULL,02-1876,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30134,955,166,1,NULL,NULL,NULL,0,NULL,02-0800,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30133,955,163,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30132,955,0,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30131,955,137,1,NULL,NULL,NULL,0,NULL,02-1409,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30130,955,134,1,NULL,NULL,NULL,0,NULL,02-1037,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30129,955,119,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30128,955,0,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30127,955,72,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30126,955,13,1,NULL,NULL,NULL,0,NULL,02-2574,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30125,955,0,1,NULL,NULL,NULL,0,NULL,02-0917,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30124,955,129,1,NULL,NULL,NULL,0,NULL,02-2014,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30123,955,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30122,955,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30121,955,123,1,NULL,NULL,NULL,0,NULL,02-1109,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30120,955,133,1,NULL,NULL,NULL,0,NULL,02-1320,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30119,955,140,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30118,955,141,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30117,955,56,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30116,955,73,1,NULL,NULL,NULL,0,NULL,02-0402,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30115,955,95,1,NULL,NULL,NULL,0,NULL,02-0103,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30114,955,60,1,NULL,NULL,NULL,0,NULL,02-1738,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30113,955,86,1,NULL,NULL,NULL,0,NULL,02-1626,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30112,955,5,1,NULL,NULL,NULL,0,NULL,02-0689,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30111,955,61,1,NULL,NULL,NULL,0,NULL,02-0444,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30110,955,69,1,NULL,NULL,NULL,0,NULL,02-0052,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30109,955,74,1,NULL,NULL,NULL,0,NULL,02-0300,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30108,955,14,1,NULL,NULL,NULL,0,NULL,02-0169,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30107,955,32,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30106,955,34,1,NULL,NULL,NULL,0,NULL,02-0047,"2026-07-08 17:43:14","0000-00-00 00:00:00"
30105,954,118,1,NULL,NULL,NULL,0,NULL,02-1893,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30104,954,79,1,NULL,NULL,NULL,0,NULL,02-0341,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30103,954,42,1,NULL,NULL,NULL,0,NULL,02-1627,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30102,954,149,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30101,954,13,1,NULL,NULL,NULL,0,NULL,02-2075,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30100,954,135,1,NULL,NULL,NULL,0,NULL,02-0309,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30099,954,18,1,NULL,NULL,NULL,0,NULL,02-1996,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30098,954,112,1,NULL,NULL,NULL,0,NULL,02-2429,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30097,954,155,1,NULL,NULL,NULL,0,NULL,02-0086,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30096,954,165,1,NULL,NULL,NULL,0,NULL,02-1876,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30095,954,166,1,NULL,NULL,NULL,0,NULL,02-0800,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30094,954,163,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30093,954,0,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30092,954,137,1,NULL,NULL,NULL,0,NULL,02-1409,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30091,954,134,1,NULL,NULL,NULL,0,NULL,02-1037,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30090,954,119,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30089,954,0,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30088,954,72,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30087,954,13,1,NULL,NULL,NULL,0,NULL,02-2574,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30086,954,0,1,NULL,NULL,NULL,0,NULL,02-0917,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30085,954,129,1,NULL,NULL,NULL,0,NULL,02-2014,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30084,954,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30083,954,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30082,954,123,1,NULL,NULL,NULL,0,NULL,02-1109,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30081,954,133,1,NULL,NULL,NULL,0,NULL,02-1320,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30080,954,140,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30079,954,141,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30078,954,56,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30077,954,73,1,NULL,NULL,NULL,0,NULL,02-0402,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30076,954,95,1,NULL,NULL,NULL,0,NULL,02-0103,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30075,954,60,1,NULL,NULL,NULL,0,NULL,02-1738,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30074,954,86,1,NULL,NULL,NULL,0,NULL,02-1626,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30073,954,5,1,NULL,NULL,NULL,0,NULL,02-0689,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30072,954,61,1,NULL,NULL,NULL,0,NULL,02-0444,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30071,954,69,1,NULL,NULL,NULL,0,NULL,02-0052,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30070,954,74,1,NULL,NULL,NULL,0,NULL,02-0300,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30069,954,14,1,NULL,NULL,NULL,0,NULL,02-0169,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30068,954,32,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30067,954,34,1,NULL,NULL,NULL,0,NULL,02-0047,"2026-07-01 16:34:44","0000-00-00 00:00:00"
30066,953,118,1,NULL,NULL,NULL,0,NULL,02-1893,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30065,953,79,1,NULL,NULL,NULL,0,NULL,02-0341,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30064,953,42,1,NULL,NULL,NULL,0,NULL,02-1627,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30063,953,149,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30062,953,13,1,NULL,NULL,NULL,0,NULL,02-2075,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30061,953,135,1,NULL,NULL,NULL,0,NULL,02-0309,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30060,953,18,1,NULL,NULL,NULL,0,NULL,02-1996,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30059,953,112,1,NULL,NULL,NULL,0,NULL,02-2429,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30058,953,155,1,NULL,NULL,NULL,0,NULL,02-0086,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30057,953,165,1,NULL,NULL,NULL,0,NULL,02-1876,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30056,953,166,1,NULL,NULL,NULL,0,NULL,02-0800,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30055,953,163,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30054,953,0,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30053,953,137,1,NULL,NULL,NULL,0,NULL,02-1409,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30052,953,134,1,NULL,NULL,NULL,0,NULL,02-1037,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30051,953,119,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30050,953,0,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30049,953,72,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30048,953,13,1,NULL,NULL,NULL,0,NULL,02-2574,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30047,953,0,1,NULL,NULL,NULL,0,NULL,02-0917,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30046,953,129,1,NULL,NULL,NULL,0,NULL,02-2014,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30045,953,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30044,953,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30043,953,123,1,NULL,NULL,NULL,0,NULL,02-1109,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30042,953,133,1,NULL,NULL,NULL,0,NULL,02-1320,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30041,953,140,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30040,953,141,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30039,953,56,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30038,953,73,1,NULL,NULL,NULL,0,NULL,02-0402,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30037,953,95,1,NULL,NULL,NULL,0,NULL,02-0103,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30036,953,60,1,NULL,NULL,NULL,0,NULL,02-1738,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30035,953,86,1,NULL,NULL,NULL,0,NULL,02-1626,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30034,953,5,1,NULL,NULL,NULL,0,NULL,02-0689,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30033,953,61,1,NULL,NULL,NULL,0,NULL,02-0444,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30032,953,69,1,NULL,NULL,NULL,0,NULL,02-0052,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30031,953,74,1,NULL,NULL,NULL,0,NULL,02-0300,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30030,953,14,1,NULL,NULL,NULL,0,NULL,02-0169,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30029,953,32,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30028,953,34,1,NULL,NULL,NULL,0,NULL,02-0047,"2026-06-30 10:39:10","0000-00-00 00:00:00"
30027,952,118,1,NULL,NULL,NULL,0,NULL,02-1893,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30026,952,79,1,NULL,NULL,NULL,0,NULL,02-0341,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30025,952,42,1,NULL,NULL,NULL,0,NULL,02-1627,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30024,952,149,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30023,952,13,1,NULL,NULL,NULL,0,NULL,02-2075,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30022,952,135,1,NULL,NULL,NULL,0,NULL,02-0309,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30021,952,18,1,NULL,NULL,NULL,0,NULL,02-1996,"2026-06-22 16:33:58","0000-00-00 00:00:00"
30020,952,112,1,NULL,NULL,NULL,0,NULL,02-2429,"2026-06-22 16:33:58","0000-00-00 00:00:00"
