"id","recipient_employee_id","actor_employee_id","notification_type","title","message","entity_type","entity_id","entity_reference","action_url","read_at","created_at"
7,"02-2014","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000012 · Test Only","urgent_task",12,"UT-2026-000012","/dashboard/urgent/list",NULL,"2026-09-12 20:38:59.312515+06"
8,"02-2014","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000013 · ABC","urgent_task",13,"UT-2026-000013","/dashboard/urgent/list",NULL,"2026-09-12 20:39:38.37756+06"
6,"02-2014","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000011 · server migration","urgent_task",11,"UT-2026-000011","/dashboard/urgent/list","2026-09-12 20:40:06.009736+06","2026-09-12 20:38:04.194883+06"
9,"02-2014","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000014 · TEST Puprose","urgent_task",14,"UT-2026-000014","/dashboard/urgent/list",NULL,"2026-09-12 20:44:38.966312+06"
10,"02-2014","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000015 · Uttara CO Migration","urgent_task",15,"UT-2026-000015","/dashboard/urgent/list",NULL,"2026-09-12 20:45:36.088541+06"
11,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000016 · ABC","urgent_task",16,"UT-2026-000016","/dashboard/urgent/list",NULL,"2026-09-12 21:06:49.495543+06"
12,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000017 · Yearly Notification","urgent_task",17,"UT-2026-000017","/dashboard/urgent/list",NULL,"2026-09-12 21:22:31.181165+06"
13,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000018 · Uttara Co","urgent_task",18,"UT-2026-000018","/dashboard/urgent/list",NULL,"2026-09-12 21:24:49.970414+06"
14,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000019 · ABC","urgent_task",19,"UT-2026-000019","/dashboard/urgent/list",NULL,"2026-09-12 21:33:38.318241+06"
17,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000022 · fdfdf","urgent_task",22,"UT-2026-000022","/dashboard/urgent/list",NULL,"2026-09-12 21:37:47.925869+06"
18,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000023 · gdffgf","urgent_task",23,"UT-2026-000023","/dashboard/urgent/list",NULL,"2026-09-12 21:39:20.509597+06"
19,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000024 · Urgent","urgent_task",24,"UT-2026-000024","/dashboard/urgent/list",NULL,"2026-09-12 21:40:40.928904+06"
15,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000020 · Yearly Report","urgent_task",20,"UT-2026-000020","/dashboard/urgent/list","2026-09-12 21:40:51.693225+06","2026-09-12 21:36:24.833448+06"
20,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000025 · Yealy Report","urgent_task",25,"UT-2026-000025","/dashboard/urgent/list",NULL,"2026-09-12 21:41:40.325224+06"
16,"02-0007","02-0186","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000021 · fdfdf","urgent_task",21,"UT-2026-000021","/dashboard/urgent/list","2026-09-12 21:41:53.011227+06","2026-09-12 21:37:01.60575+06"
21,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000026 · TST ABC","urgent_task",26,"UT-2026-000026","/dashboard/urgent/list",NULL,"2026-09-12 21:53:47.907379+06"
22,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000027 · fdfdfdfad","urgent_task",27,"UT-2026-000027","/dashboard/urgent/list",NULL,"2026-09-12 21:54:09.075339+06"
23,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000028 · fdfdfd","urgent_task",28,"UT-2026-000028","/dashboard/urgent/list",NULL,"2026-09-12 21:54:39.49443+06"
24,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000029 · fdfdfd","urgent_task",29,"UT-2026-000029","/dashboard/urgent/list",NULL,"2026-09-12 21:56:16.688251+06"
25,"02-0186","02-0007","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000030 · fdfdfdfd","urgent_task",30,"UT-2026-000030","/dashboard/urgent/list",NULL,"2026-09-12 21:56:32.908183+06"
26,"02-0007","02-2014","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000031 · fdfdfdf","urgent_task",31,"UT-2026-000031","/dashboard/urgent/list",NULL,"2026-09-12 22:02:29.610979+06"
27,"02-0007","02-2014","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000032 · fdfdf","urgent_task",32,"UT-2026-000032","/dashboard/urgent/list",NULL,"2026-09-12 22:02:50.090646+06"
28,"02-0007","02-2014","URGENT_TASK_ASSIGNED","New urgent task assigned","UT-2026-000033 · dsdsds","urgent_task",33,"UT-2026-000033","/dashboard/urgent/list",NULL,"2026-09-12 22:03:14.786115+06"
