id,inventory_category_list,status,created_by,created_at,edited_by,edited_at,parent_id,type,sub_parent_id,modified_at
147,Mo-09764,1,02-0501,"2025-10-15 10:45:46",null,NULL,146,model,0,"2025-10-15 10:45:46"
146,Accessories,1,02-0501,"2025-10-15 10:45:46",null,NULL,145,brand,0,"2025-10-15 10:45:46"
145,"Combo Accessories",1,02-0501,"2025-10-15 10:45:46",null,NULL,0,category,0,"2025-10-15 10:45:46"
144,"it's a test",1,02-0501,"2025-09-30 10:43:51",02-0501,"2025-09-30 10:43:51",143,model,0,"2025-09-30 10:40:33"
143,"It's test",1,02-0501,"2025-09-30 10:43:51",02-0501,"2025-09-30 10:43:51",61,brand,0,"2025-09-30 10:40:33"
142,abc,1,02-0501,"2025-09-17 10:58:51",null,NULL,123,model,0,NULL
141,MO-9873,1,02-0501,"2025-09-10 12:58:31",null,NULL,140,model,0,NULL
140,Samsung,1,02-0501,"2025-09-10 12:58:31",null,NULL,21,brand,0,NULL
139,Model-345,1,02-0501,"2025-09-17 10:55:33",02-0501,"2025-09-17 10:55:33",138,model,0,"2025-09-10 12:44:36"
138,Dell,1,02-0501,"2025-09-17 10:55:33",02-0501,"2025-09-17 10:55:33",7,brand,0,"2025-09-10 12:44:36"
137,Model-11,1,02-0501,"2025-09-17 10:55:39",02-0501,"2025-09-17 10:55:39",136,model,0,NULL
136,HP,1,02-0501,"2025-09-17 10:55:39",02-0501,"2025-09-17 10:55:39",7,brand,0,NULL
135,MO-997,1,02-0501,"2025-09-10 11:37:02",null,NULL,134,model,0,NULL
134,HP,1,02-0501,"2025-09-10 11:37:02",null,NULL,17,brand,0,NULL
133,Model-987,1,02-0501,"2025-09-10 10:46:16",null,NULL,132,model,0,"2025-09-10 10:46:16"
132,Dell,1,02-0501,"2025-09-10 10:46:16",null,NULL,3,brand,0,"2025-09-10 10:46:16"
131,Model-11-00,1,02-0501,"2025-09-17 10:55:58",02-0501,"2025-09-17 10:55:58",130,model,0,NULL
130,HP,1,02-0501,"2025-09-17 10:55:58",02-0501,"2025-09-17 10:55:58",3,brand,0,NULL
129,MKJY_076_677_76,1,02-2014,"2025-09-03 13:28:46",null,NULL,128,model,0,NULL
