"id","category","tt_no","employee_id","reason_details","status","created_by","created_at","approved_val","approved_by","approved_date","edited_by","edited_at","device_sl_no","delivered_val","delivered_by","delivered_date","dev_assigned_val","dev_assinged_by","dev_assigned_date","trouble_ticket_id"
431,"AUTH TEST","TEST-AUTH-001","TEST-IT-001","Authentication approval and delivery workflow test",1,"TEST-IT-001","2026-08-17 18:36:38.331046+06",1,"TEST-IT-001","2026-08-17 18:40:20.728665+06","ADMIN-001","2026-08-18 11:13:08.224449+06",NULL,1,"ADMIN-001","2026-08-18 11:13:08.224449+06",NULL,NULL,NULL,NULL
430,"Laptop-LC2","2026072129719","02-2052","<p>No Need to change the keyboard, Cause the laptop age is 4.10 years</p>",1,"02-2248","2026-07-23 15:37:54+06",1,"02-2014","2026-07-27 11:19:28+06","ADMIN-001","2026-08-18 11:17:06.071468+06","PF2FL4W2",2,"ADMIN-001","2026-08-18 11:17:06.071468+06",0,NULL,NULL,29554
429,"Wireless Presenter","2026072229730","02-0501","Test Purpose Only",1,"02-0501","2026-07-22 18:47:36+06",1,"02-0501","2026-07-22 18:49:17+06",NULL,NULL,NULL,1,"02-0501","2026-07-23 15:27:59+06",0,NULL,NULL,29565
428,"Mouse","2026072129717","02-0283","I am requesting a mouse, as I currently do not have one to perform my work.",1,"02-2181","2026-07-21 17:12:06+06",1,"ADMIN-001","2026-08-17 11:03:21.769182+06","ADMIN-001","2026-08-20 11:17:09.43568+06",NULL,2,"ADMIN-001","2026-08-20 11:17:09.43568+06",0,NULL,NULL,29552
427,"Laptop Bag","2026071629674","02-1991","Did not receive the laptop bag yet. After 05 years of Service in FHL, did not receive any Laptop Bag Yet.",1,"02-2181","2026-07-20 10:34:47+06",1,"ADMIN-001","2026-08-17 11:04:29.064477+06","ADMIN-001","2026-08-20 11:17:22.078202+06",NULL,1,"ADMIN-001","2026-08-20 11:17:22.078202+06",0,NULL,NULL,29509
426,"Converter","2026071429637","02-2194","Monitor VGA Cable/Converter problem. Need emergency solution.",1,"02-2181","2026-07-14 13:14:36+06",1,"02-2014","2026-07-15 16:09:37+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,29474
425,"SSD","2026071229621","02-1166","The laptop SSD is damaged. Need an SSD urgently.",1,"02-2181","2026-07-14 10:23:45+06",3,"02-2014","2026-07-15 16:09:34+06",NULL,NULL,"SN224308910207",0,NULL,NULL,0,NULL,NULL,29458
424,"SSD","2026062429522","02-1446","The SSD is damaged and is no longer under warranty. An urgent SSD replacement is required for official work, as the laptop is being used outside Dhaka.
",1,"02-2181","2026-07-13 18:27:29+06",3,"02-2014","2026-07-15 16:09:31+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,29359
423,"Mouse","2026063029553","02-0828","The existing M190 mouse has become faulty and is no longer functioning at all , which is affecting daily office activities. An urgent replacement mouse is required to ensure smooth and uninterrupted official work.",1,"02-2181","2026-07-13 18:20:07+06",1,"02-2014","2026-07-15 16:08:58+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,29390
422,"Laptop Adapter","2026070829601","02-1944","My laptop charging adapter is not working. The laptop is not charging.  ",1,"02-2181","2026-07-13 11:23:43+06",1,"02-2014","2026-07-15 16:08:55+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,29438
