id,employee_id,tr1,tr2,tr3,tr4,tr5,status,user,date,active,level,deligation,kpi_eligible,job_completion_eligible,attendance_status,tr6,eportal_eligibility,kpi_effective_date
1,02-0323,02-0003,02-0003,02-0003,02-0003,01-0001,0,saddam,"2024-09-23 00:00:00",Yes,100,NULL,0,0,1,01-0001,NULL,NULL
2,02-0016,02-0003,02-0003,02-0003,02-0003,02-0003,1,rabbani,"2024-09-22 10:47:43",Yes,100,NULL,0,0,1,01-0001,NULL,NULL
3,02-0003,01-0001,01-0001,01-0001,01-0001,01-0001,1,rabbani,"2024-09-22 10:47:44",Yes,0,NULL,0,0,0,01-0001,NULL,NULL
4,02-0103,02-1409,02-1409,02-1409,02-0458,02-0003,0,rabbani,"2024-09-22 10:47:44",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
5,02-0022,02-0504,02-1888,02-1888,02-0458,02-0003,0,rabbani,"2024-09-22 10:47:44",Yes,0,NULL,0,1,1,01-0001,NULL,NULL
6,02-0330,02-0627,02-0627,02-1876,02-0458,02-0003,0,rabbani,"2024-09-29 00:00:00",Yes,0,NULL,0,1,1,01-0001,NULL,NULL
7,02-0262,02-1033,02-0767,02-0094,02-0094,02-0003,0,rabbani,"2024-09-22 10:47:45",Yes,0,NULL,0,0,1,01-0001,NULL,NULL
8,02-0423,02-0767,02-0767,02-0094,02-0094,02-0003,0,rabbani,"2024-09-22 10:47:45",Yes,0,NULL,0,0,1,01-0001,NULL,NULL
9,02-0393,02-0994,02-0994,02-0994,02-0994,02-0003,0,rabbani,"2024-09-22 10:47:45",Yes,100,NULL,0,1,1,01-0001,NULL,NULL
10,02-0381,02-1838,02-1838,02-1838,02-2332,02-0003,0,rabbani,"2024-09-22 10:47:45",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
11,02-0334,02-1801,02-1801,02-1801,02-1998,02-0003,0,rabbani,"2024-09-22 10:47:46",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
12,02-0245,02-1801,02-1801,02-1801,02-1998,02-0003,0,rabbani,"2024-09-22 10:47:46",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
13,02-0139,02-1838,02-1838,02-1838,02-2332,02-0003,0,rabbani,"2024-09-22 10:47:46",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
14,02-0009,02-0003,02-0003,02-0003,02-0003,02-0003,1,rabbani,"2024-09-22 10:47:46",Yes,100,NULL,0,0,1,01-0001,NULL,NULL
15,02-0029,02-1517,02-1517,02-0009,02-0009,02-0003,0,rabbani,"2024-09-22 10:47:47",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
16,02-0333,02-1071,02-1071,02-1071,02-2004,02-0003,0,rabbani,"2024-09-22 10:47:47",Yes,5,NULL,0,1,1,01-0001,NULL,NULL
